"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-04",,"64","33"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-05",,"58","37"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-06",,"63","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-07",,"61","40"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-08",,"51","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-09",,"55","33"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-10",,"47","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-11",,"50","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-12",,"59","32"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-13",,"64","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-14",,"50","33"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-15",,"51","33"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-16",,"60","32"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-17",,"66","37"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-18",,"69","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-19",,"62","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-20",,"43","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-21",,"60","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-22",,"67","35"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-23",,"53","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-24",,"49","32"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-25",,"62","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-26",,"63","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-27",,"54","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-28",,"62","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-29",,"71","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-30",,"82","44"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-31",,"75","43"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-01",,"62","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-02",,"51","27"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-03",,"70","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-04",,"76","41"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-05",,"79","43"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-06",,"60","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-07",,"57","33"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-08",,"63","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-09",,"73","40"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-10",,"74","42"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-11",,"74","45"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-12",,"79","48"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-13",,"76","54"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-14",,"76","46"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-15",,"76","50"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-16",,"74","50"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-04-17",,"64","46"
